,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec,Team_1,Team_2,Day/Night
57,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,9.4,16,9.4,7,160,24,45,1,9.4,60,3,0.077075099,-0.666666667,England,Australia,1
58,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,9.5,16,9.5,9,160,24,45,1,9.5,62,3,0.077075099,-0.666666667,England,Australia,1
59,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,9.6,16,9.6,9,160,24,45,1,9.6,62,3,0.077075099,-0.666666667,England,Australia,1
60,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,10.1,9,10.1,20,160,24,45,1,10.1,66,3,0.077075099,-0.666666667,England,Australia,1
61,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,10.2,9,10.2,21,160,24,45,1,10.2,67,3,0.077075099,-0.666666667,England,Australia,1
62,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,10.3,21,10.3,9,160,24,45,1,10.3,67,4,0.077075099,-0.666666667,England,Australia,1
63,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,10.4,21,10.4,1,160,24,45,1,10.4,68,4,0.077075099,-0.666666667,England,Australia,1
64,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,10.5,1,10.5,21,160,24,45,1,10.5,69,4,0.077075099,-0.666666667,England,Australia,1
65,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,10.6,1,10.6,21,160,24,45,1,10.6,70,4,0.077075099,-0.666666667,England,Australia,1
66,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,10.7,1,10.7,22,160,24,45,1,10.7,71,4,0.077075099,-0.666666667,England,Australia,1
